trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_rating.started,estimation_rating.stopped,total_learning_time,estimation_exp1.png,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
8,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,8,8,8,,,,,,,,,False,48,129,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.10561891954112601,1,invalid_win,893.8305511999997,74,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
9,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,9,9,9,,,,,,,,,False,49,130,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.31461517030705966,1,valid_win,900.5949363,75,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
10,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,10,10,10,,,,,,,,,False,50,131,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.8060689290155323,1,valid_win,905.3663354,76,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
11,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,11,11,11,,,,,,,,,False,51,132,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.16508519518932152,1,invalid_win,910.2589011,77,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
12,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,12,12,12,,,,,,,,,False,52,133,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.9703083495137644,1,valid_win,914.7593421000001,78,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
13,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,13,13,13,,,,,,,,,False,53,134,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.9940821808302531,1,valid_win,919.6272797000001,79,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
14,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,14,14,14,,,,,,,,,False,54,135,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.238534171230686,0,invalid_lose,924.7494630000001,79,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
15,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,15,15,15,,,,,,,,,False,55,136,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.9784292648964594,1,valid_win,930.9386198000002,80,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
16,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,16,16,16,,,,,,,,,False,56,137,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.11395773071912452,0,invalid_lose,937.7511452999997,80,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
17,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,17,17,17,,,,,,,,,False,57,138,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.18410339213716964,0,invalid_lose,943.6504712000005,80,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
18,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,18,18,18,,,,,,,,,False,58,139,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.8465882747248329,1,valid_win,948.4499104000006,81,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
19,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,19,19,19,,,,,,,,,False,59,140,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.8769579631826465,0,valid_lose,953.6324741999997,81,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
20,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,20,20,20,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
,,,exp1.png,,,,,,,,,,,,,,,,,2,0,2,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,35.0,4.295096099999682,"[(35.0, 4.295096099999682)]",1031.5466022,None,,35.0,,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
,,,exp2.png,,,,,,,,,,,,,,,,,2,0,2,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,38.0,1.4316085999998904,"[(38.0, 1.4316085999998904)]",1037.4350851000008,None,,,38.0,,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
,,,exp3.png,,,,,,,,,,,,,,,,,2,0,2,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,43.0,0.842879300000277,"[(43.0, 0.842879300000277)]",1040.5456953000003,None,,,,43.0,,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
,,,exp4.png,,,,,,,,,,,,,,,,,2,0,2,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,42.0,0.8259686000001238,"[(42.0, 0.8259686000001238)]",1042.6721378000002,None,,,,,42.0,,,,,,sub_177,2022-09-20_15h58.31.952,Reversal,2022.1.1,60.06633726299804,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,101,51,50,377.4840438000001,1,,,,,,,
