trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,thisRow.t,notes,instructions1.started,instructions1.stopped,instructions2.started,instructions2.stopped,instructions3.started,instructions3.stopped,intstructions4.started,intstructions4.stopped,instructions5.started,instructions5.stopped,mindware_trigger_learning.started,mindware_trigger_learning.stopped,trial.started,skipped,trial.stopped,feedback_preparation.started,feedback_preparation.stopped,feedback.started,feedback.stopped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation.started,estimation_rating.started,estimation.stopped,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,mindware_trigger_reversal.started,mindware_trigger_reversal.stopped,total_learning_time,thank_you.started,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,expStart,
,,,exp2.png,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,223.40955170011148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.3473044000566,223.40955170011148,229.44382490008138,,100.0,5.088058500085026,"[(100.0, 5.088058500085026)]",100.0,,,,,,,,,,,,sub_794,2024-06-18_17h39.40.549,Reversal,2023.2.1,60.06695061549031,2,2024-06-18 17h39.56.166100 +0300,
,,,exp3.png,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,229.50600270018913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.4443268000614,229.50600270018913,233.876252300106,,1.0,3.339908800087869,"[(1.0, 3.339908800087869)]",,1.0,,,,,,,,,,,sub_794,2024-06-18_17h39.40.549,Reversal,2023.2.1,60.06695061549031,2,2024-06-18 17h39.56.166100 +0300,
,,,exp4.png,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,233.93960060016252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.87672620010562,233.93960060016252,238.4945942000486,,100.0,3.655597700038925,"[(100.0, 3.655597700038925)]",,,100.0,,,,,,,,,,sub_794,2024-06-18_17h39.40.549,Reversal,2023.2.1,60.06695061549031,2,2024-06-18 17h39.56.166100 +0300,
0,exp1.png,exp2.png,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,238.7453712001443,,,,,,,,,,,,238.50552400015295,238.50636540004052,238.50638460018672,True,238.57966150017455,238.57968430011533,238.5941014001146,238.59411450009793,238.61066460004076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_794,2024-06-18_17h39.40.549,Reversal,2023.2.1,60.06695061549031,2,2024-06-18 17h39.56.166100 +0300,
1,exp3.png,exp4.png,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,238.7453712001443,,,,,,,,,,,,238.6109023001045,238.6111258000601,238.61113750003278,False,243.3908108000178,243.39117720001377,244.00578260002658,244.00581120001152,245.80377440014854,20,21,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.25248499428347027,1,valid_win,157.8119811997749,12,,,,,,,,,,,,,,,,,,,,sub_794,2024-06-18_17h39.40.549,Reversal,2023.2.1,60.06695061549031,2,2024-06-18 17h39.56.166100 +0300,
2,exp1.png,exp2.png,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,245.94634320004843,,,,,,,,,,,,245.80462460010312,245.80554610001855,245.80558980000205,False,248.19025230011903,248.19066469999962,248.80485559999943,248.80488040018827,250.60278790001757,21,22,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.985083204022293,1,valid_win,162.6114662999753,13,,,,,,,,,,,,,,,,,,,,sub_794,2024-06-18_17h39.40.549,Reversal,2023.2.1,60.06695061549031,2,2024-06-18 17h39.56.166100 +0300,
3,exp3.png,exp4.png,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,250.7344242001418,,,,,,,,,,,,250.6033842000179,250.60395480017178,250.60398330003954,False,253.52241310011595,253.52271120017394,254.13760330015793,254.13763170014136,255.9353453000076,22,23,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.1260166513272758,1,invalid_win,167.94351879996248,14,,,,,,,,,,,,,,,,,,,,sub_794,2024-06-18_17h39.40.549,Reversal,2023.2.1,60.06695061549031,2,2024-06-18 17h39.56.166100 +0300,
4,exp1.png,exp2.png,,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,256.06378190009855,,,,,,,,,,,,255.935796600068,255.9363518001046,255.93637540005147,False,258.77221540012397,258.77267570002005,259.38762060017325,259.3876673001796,261.18481690017506,23,24,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.4614731971165821,1,valid_win,173.19347519986331,15,,,,,,,,,,,,,,,,,,,,sub_794,2024-06-18_17h39.40.549,Reversal,2023.2.1,60.06695061549031,2,2024-06-18 17h39.56.166100 +0300,
5,exp3.png,exp4.png,,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,261.3108159999829,,,,,,,,,,,,261.1852931000758,261.18587850010954,261.1859039000701,False,264.12149509997107,264.1218410001602,264.7364400001243,264.73650710005313,266.53426610003226,24,25,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.49492242212720783,0,valid_lose,178.54264589981176,15,,,,,,,,,,,,,,,,,,,,sub_794,2024-06-18_17h39.40.549,Reversal,2023.2.1,60.06695061549031,2,2024-06-18 17h39.56.166100 +0300,
6,exp1.png,exp2.png,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,266.6943732001819,,,,,,,,,,,,266.5349542000331,266.5357131001074,266.5357462000102,False,268.63814110006206,268.63861230015755,269.2527483999729,269.2527805001009,271.05027400003746,25,26,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.6493547608614327,1,valid_win,183.05941029987298,16,,,,,,,,,,,,,,,,,,,,sub_794,2024-06-18_17h39.40.549,Reversal,2023.2.1,60.06695061549031,2,2024-06-18 17h39.56.166100 +0300,
7,exp3.png,exp4.png,,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,271.1745919000823,,,,,,,,,,,,271.0506274001673,271.05113330017775,271.05115190008655,False,273.18664400000125,273.1869407000486,273.80193810001947,273.80198940006085,275.5997886999976,26,27,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.7375707318002177,0,valid_lose,187.60774889984168,16,,,,,,,,,,,,,,,,,,,,sub_794,2024-06-18_17h39.40.549,Reversal,2023.2.1,60.06695061549031,2,2024-06-18 17h39.56.166100 +0300,
8,exp1.png,exp2.png,,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,275.7397223999724,,,,,,,,,,,,275.6004563001916,275.60125810001045,275.6012937000487,False,277.6030955000315,277.60356370010413,278.2183273001574,278.2183650000952,280.01618240005337,27,28,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.18422234087984513,0,invalid_lose,192.02436379995197,16,,,,,,,,,,,,,,,,,,,,sub_794,2024-06-18_17h39.40.549,Reversal,2023.2.1,60.06695061549031,2,2024-06-18 17h39.56.166100 +0300,
