trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_rating.started,estimation_rating.stopped,estimation_exp3.png,estimation_exp4.png,estimation_exp1.png,estimation_exp2.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,end_experiment.keys,end_experiment.rt,participant,date,expName,psychopyVersion,frameRate,ver,
7,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,7,7,7,,,,,,,,,False,46,107,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.7301217963945804,0,valid_lose,619.6223034000723,71,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
8,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,8,8,8,,,,,,,,,False,47,108,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,3,exp1.png,exp2.png,0,4,reversed,correct,0.9217231793713208,1,valid_win,624.2219212000491,72,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
9,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,9,9,9,,,,,,,,,False,48,109,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.7534512644457142,1,valid_win,628.5055288000731,73,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
10,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,10,10,10,,,,,,,,,False,49,110,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,3,exp1.png,exp2.png,0,4,reversed,correct,0.36011032668548826,1,valid_win,634.8048945000628,74,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
11,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,11,11,11,,,,,,,,,False,50,111,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.8161751895627746,1,valid_win,639.7880728000309,75,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
12,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,12,12,12,,,,,,,,,False,51,112,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,3,exp1.png,exp2.png,0,4,reversed,correct,0.07755767529903856,0,invalid_lose,645.038748400053,75,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
13,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,13,13,13,,,,,,,,,False,52,113,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.21524828467028523,1,invalid_win,650.1045616000192,76,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
14,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,14,14,14,,,,,,,,,False,53,114,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,3,exp1.png,exp2.png,0,4,reversed,correct,0.577105919711374,1,valid_win,654.7051751000108,77,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
15,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,15,15,15,,,,,,,,,False,54,115,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.27956679443841204,1,valid_win,659.2704089999897,78,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
16,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,16,16,16,,,,,,,,,False,55,116,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,3,exp1.png,exp2.png,0,4,reversed,correct,0.34508448866939045,1,valid_win,663.7213306000922,79,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
17,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,17,17,17,,,,,,,,,False,56,117,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.18508383205028212,1,invalid_win,669.1046479000943,80,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
18,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,18,18,18,,,,,,,,,False,57,118,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,3,exp1.png,exp2.png,0,4,reversed,correct,0.09833901895083363,0,invalid_lose,674.1545870000264,80,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
19,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,19,19,19,,,,,,,,,False,58,119,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.8668680807831904,0,valid_lose,678.8542148000561,80,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
20,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,2,0,2,0,0,20,20,20,,,,,,,,,False,59,120,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,3,exp1.png,exp2.png,0,4,reversed,correct,0.02381243222457241,0,invalid_lose,683.7871999000199,80,,,,,,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
,,,exp1.png,,,,,,,,,,,,,,,,,2,0,2,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,50.0,None,[],760.5882285999833,None,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
,,,exp2.png,,,,,,,,,,,,,,,,,2,0,2,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,50.0,None,[],763.4527983999578,None,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
,,,exp3.png,,,,,,,,,,,,,,,,,2,0,2,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,50.0,None,[],763.9680806999095,None,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
,,,exp4.png,,,,,,,,,,,,,,,,,2,0,2,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,50.0,None,[],764.733611100004,None,,,,,,,,,,,,,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,83,45,38,339.70227420004085,0,space,122.17577890004031,sub_699,2024-11-10_16h23.52.445,Reversal,2022.1.2,60.02397353396936,3,
