trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
,,,exp1.png,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.54668500000025,80.0,80.0,8.230415600000015,"[(80.0, 8.230415600000015)]",,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
,,,exp2.png,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.85690130000057,,39.0,3.2754362999994555,"[(39.0, 3.2754362999994555)]",39.0,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
,,,exp3.png,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.3188039000006,,77.0,1.943970299999819,"[(77.0, 1.943970299999819)]",,77.0,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
,,,exp4.png,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.4186333000007,,39.0,1.9276560999996946,"[(39.0, 1.9276560999996946)]",,,39.0,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
0,exp1.png,exp2.png,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,20,21,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.16285786672467162,0,invalid_lose,153.14630549999947,12,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
1,exp3.png,exp4.png,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,21,22,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.16395129992055835,1,invalid_win,158.52798399999938,13,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
2,exp1.png,exp2.png,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,22,23,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.5700360403408468,0,valid_lose,163.22646919999988,13,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
3,exp3.png,exp4.png,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,23,24,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.7407145646362231,1,valid_win,170.55762289999984,14,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
4,exp1.png,exp2.png,,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,24,25,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.7710873142627004,1,valid_win,175.97235399999954,15,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
5,exp3.png,exp4.png,,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,25,26,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.4733866741788125,1,valid_win,183.53624169999966,16,,,,,,,,,,,,,,,sub_925,2024-03-17_12h27.37.510,Reversal,2023.1.3,59.95196648457111,1,
