trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_rating.started,estimation_rating.stopped,estimation_exp3.png,estimation_exp4.png,estimation_exp2.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,end_experiment.keys,end_experiment.rt,participant,date,expName,psychopyVersion,frameRate,ver,
,,,exp1.png,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,17.61469349998515,"[(100.0, 17.61469349998515)]",387.4538678000099,None,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
,,,exp2.png,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,None,[],406.83213770002476,None,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
,,,exp3.png,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,5.950053199980175,"[(100.0, 5.950053199980175)]",411.8151077000075,None,100.0,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
,,,exp4.png,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,5.101031400001375,"[(100.0, 5.101031400001375)]",419.3675397000043,None,,100.0,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
0,exp1.png,exp2.png,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,20,21,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.18414281792005982,1,invalid_win,268.3623368999979,15,,,,,,,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
1,exp3.png,exp4.png,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,21,22,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.5464516145909984,1,valid_win,290.4616554999957,16,,,,,,,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
2,exp1.png,exp2.png,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,22,23,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.8784115329733783,1,valid_win,299.04534010001225,17,,,,,,,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
3,exp3.png,exp4.png,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,23,24,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.5200313455500589,1,valid_win,308.66122929999256,18,,,,,,,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
4,exp1.png,exp2.png,,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,24,25,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.9661491098969839,1,valid_win,319.5444145000074,19,,,,,,,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
5,exp3.png,exp4.png,,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,25,26,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.10255030414316613,0,invalid_lose,328.3947850000113,19,,,,,,,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
6,exp1.png,exp2.png,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,26,27,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.9828046569804069,1,valid_win,344.89413840000634,20,,,,,,,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
7,exp3.png,exp4.png,,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,27,28,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.21218520473323688,0,invalid_lose,351.0272469999909,20,,,,,,,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
8,exp1.png,exp2.png,,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,28,29,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.2709921631424316,1,valid_win,356.526829600014,21,,,,,,,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
9,exp3.png,exp4.png,,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,29,30,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.2923750696479893,1,valid_win,364.26067489999696,22,,,,,,,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
10,exp1.png,exp2.png,,1,0,1,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,30,31,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.2672869493959702,1,valid_win,376.5776029000117,23,,,,,,,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
11,exp3.png,exp4.png,,1,0,1,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,31,32,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.7824940426091351,1,valid_win,384.243472800008,24,,,,,,,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
12,exp1.png,exp2.png,,1,0,1,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,32,33,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.739868107346958,0,valid_lose,401.5932991000009,24,,,,,,,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
13,exp3.png,exp4.png,,1,0,1,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,33,34,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.5533586467816644,1,valid_win,407.16015410001273,25,,,,,,,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
14,exp1.png,exp2.png,,1,0,1,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,34,35,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.7859565285918907,0,valid_lose,416.9098942000128,25,,,,,,,,,,,,,,,,,,sub_046,2022-08-14_15h21.43.156,Reversal,2022.1.2,60.06814130088215,2,
