trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
,,,exp2.png,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.3287971999998,,None,None,[],,,,,,,sub_661,2024-07-08_11h42.24.699,Reversal,2023.1.3,59.97487052946842,1,
,,,exp3.png,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.2543772000008,,None,None,[],,,,,,,sub_661,2024-07-08_11h42.24.699,Reversal,2023.1.3,59.97487052946842,1,
,,,exp4.png,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.10208109999985,,None,None,[],,,,,,,sub_661,2024-07-08_11h42.24.699,Reversal,2023.1.3,59.97487052946842,1,
0,exp1.png,exp2.png,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_661,2024-07-08_11h42.24.699,Reversal,2023.1.3,59.97487052946842,1,
1,exp3.png,exp4.png,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,20,21,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.24416048451562244,0,invalid_lose,260.8102524999995,10,,,,,,,,,,,,sub_661,2024-07-08_11h42.24.699,Reversal,2023.1.3,59.97487052946842,1,
2,exp1.png,exp2.png,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,21,22,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.7329273206963007,1,valid_win,265.84213180000006,11,,,,,,,,,,,,sub_661,2024-07-08_11h42.24.699,Reversal,2023.1.3,59.97487052946842,1,
3,exp3.png,exp4.png,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,22,23,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.30123077111745145,1,valid_win,270.65711349999947,12,,,,,,,,,,,,sub_661,2024-07-08_11h42.24.699,Reversal,2023.1.3,59.97487052946842,1,
4,exp1.png,exp2.png,,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,23,24,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.4821644174014478,1,valid_win,275.13848510000025,13,,,,,,,,,,,,sub_661,2024-07-08_11h42.24.699,Reversal,2023.1.3,59.97487052946842,1,
5,exp3.png,exp4.png,,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,24,25,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.9968924064316205,1,valid_win,279.2538678000001,14,,,,,,,,,,,,sub_661,2024-07-08_11h42.24.699,Reversal,2023.1.3,59.97487052946842,1,
6,exp1.png,exp2.png,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,25,26,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.24784049801214558,0,invalid_lose,283.26904920000015,14,,,,,,,,,,,,sub_661,2024-07-08_11h42.24.699,Reversal,2023.1.3,59.97487052946842,1,
7,exp3.png,exp4.png,,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,26,27,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.7201545958456145,1,valid_win,287.76764170000024,15,,,,,,,,,,,,sub_661,2024-07-08_11h42.24.699,Reversal,2023.1.3,59.97487052946842,1,
8,exp1.png,exp2.png,,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,27,28,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.6553435563300642,1,valid_win,291.8993623000006,16,,,,,,,,,,,,sub_661,2024-07-08_11h42.24.699,Reversal,2023.1.3,59.97487052946842,1,
9,exp3.png,exp4.png,,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,28,29,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.4547335947403488,1,valid_win,296.0314636999992,17,,,,,,,,,,,,sub_661,2024-07-08_11h42.24.699,Reversal,2023.1.3,59.97487052946842,1,
10,exp1.png,exp2.png,,1,0,1,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,29,30,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.436696600157224,1,valid_win,300.04681659999915,18,,,,,,,,,,,,sub_661,2024-07-08_11h42.24.699,Reversal,2023.1.3,59.97487052946842,1,
11,exp3.png,exp4.png,,1,0,1,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,30,31,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.8041640935300692,1,valid_win,304.1451004999999,19,,,,,,,,,,,,sub_661,2024-07-08_11h42.24.699,Reversal,2023.1.3,59.97487052946842,1,
12,exp1.png,exp2.png,,1,0,1,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,31,32,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.8730129013948547,0,valid_lose,308.2939434,19,,,,,,,,,,,,sub_661,2024-07-08_11h42.24.699,Reversal,2023.1.3,59.97487052946842,1,
13,exp3.png,exp4.png,,1,0,1,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,32,33,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.5620683755475554,0,valid_lose,312.42574869999953,19,,,,,,,,,,,,sub_661,2024-07-08_11h42.24.699,Reversal,2023.1.3,59.97487052946842,1,
14,exp1.png,exp2.png,,1,0,1,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,33,34,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.10439934892722325,0,invalid_lose,316.3916640999996,19,,,,,,,,,,,,sub_661,2024-07-08_11h42.24.699,Reversal,2023.1.3,59.97487052946842,1,
15,exp3.png,exp4.png,,1,0,1,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,34,35,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.2562082639037818,0,valid_lose,320.423158399999,19,,,,,,,,,,,,sub_661,2024-07-08_11h42.24.699,Reversal,2023.1.3,59.97487052946842,1,
