trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp2.png,estimation_exp3.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
19,exp3.png,exp4.png,,1,0,1,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,39,40,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.7594105754174256,0,valid_lose,229.48776069999985,22,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
20,exp1.png,exp2.png,,1,0,1,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
,,,exp1.png,1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.5869542999999,,None,None,[],,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
,,,exp2.png,1,0,1,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.1545449999994,,None,None,[],,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
,,,exp3.png,1,0,1,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.0383533999993,,None,None,[],,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
,,,exp4.png,1,0,1,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.57081130000006,,None,None,[],,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
0,exp1.png,exp2.png,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,40,41,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.8425681188178058,0,valid_lose,241.51679299999978,22,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
1,exp3.png,exp4.png,,2,0,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,41,42,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.5432186388265532,0,valid_lose,245.9152221000004,22,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
2,exp1.png,exp2.png,,2,0,2,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,42,43,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.6720102243230206,0,valid_lose,249.9641198999998,22,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
3,exp3.png,exp4.png,,2,0,2,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,43,44,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.7844938805312243,1,valid_win,253.91304620000028,23,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
4,exp1.png,exp2.png,,2,0,2,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,44,45,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.657960342488435,1,valid_win,258.36152049999964,24,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
5,exp3.png,exp4.png,,2,0,2,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,45,46,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.2534712358467959,1,valid_win,262.6098313000002,25,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
6,exp1.png,exp2.png,,2,0,2,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,46,47,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.829078719459737,1,valid_win,266.7414835999998,26,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
7,exp3.png,exp4.png,,2,0,2,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,47,48,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.28925483943035024,1,valid_win,271.4402667000004,27,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
8,exp1.png,exp2.png,,2,0,2,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,48,49,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.22075821126862927,1,invalid_win,275.40581440000005,28,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
9,exp3.png,exp4.png,,2,0,2,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,49,50,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.9182655125057876,0,valid_lose,279.3040565000001,28,,,,,,,,,,,,,,sub_810,2024-11-24_13h45.04.422,Reversal,2023.1.3,59.983360615849456,2,
