trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_rating.response,estimation_rating.rt,estimation_rating.history,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
5,exp3.png,exp4.png,,3,0,3,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,65,66,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.24789043832615665,1,invalid_win,319.4239881000003,32,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
6,exp1.png,exp2.png,,3,0,3,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,66,67,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.7337878726498894,0,valid_lose,323.70658710000043,32,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
7,exp3.png,exp4.png,,3,0,3,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,67,68,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.38917673688639676,1,valid_win,327.80396610000025,33,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
8,exp1.png,exp2.png,,3,0,3,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,68,69,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.9674371166925185,1,valid_win,331.7192934000004,34,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
9,exp3.png,exp4.png,,3,0,3,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,69,70,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.708641422793826,0,valid_lose,335.718605,34,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
10,exp1.png,exp2.png,,3,0,3,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,70,71,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.3737646254487872,0,valid_lose,339.73331060000055,34,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
11,exp3.png,exp4.png,,3,0,3,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,71,72,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.17359927118794904,0,invalid_lose,343.59822930000064,34,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
12,exp1.png,exp2.png,,3,0,3,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,72,73,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.26089472798255064,0,valid_lose,347.6478640000005,34,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
13,exp3.png,exp4.png,,3,0,3,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,73,74,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.7631601972930812,0,valid_lose,351.5469528000003,34,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
14,exp1.png,exp2.png,,3,0,3,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,74,75,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.32965886297754066,1,valid_win,355.6447831000005,35,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
15,exp3.png,exp4.png,,3,0,3,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,75,76,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.599112799698657,0,valid_lose,359.74355019999985,35,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
16,exp1.png,exp2.png,,3,0,3,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,76,77,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.1357732023689261,0,invalid_lose,363.6089062000001,35,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
17,exp3.png,exp4.png,,3,0,3,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,77,78,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.9163859714124051,0,valid_lose,367.4402600000003,35,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
18,exp1.png,exp2.png,,3,0,3,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,78,79,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.7241579700835147,0,valid_lose,371.30520049999996,35,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
19,exp3.png,exp4.png,,3,0,3,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,79,80,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.44020007441458997,1,valid_win,375.13731370000005,36,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
20,exp1.png,exp2.png,,3,0,3,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
,,,exp1.png,3,0,3,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.2174320999993,None,None,[],,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
,,,exp2.png,3,0,3,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.3432583999993,None,None,[],,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
,,,exp3.png,3,0,3,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.48329079999985,None,None,[],,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
,,,exp4.png,3,0,3,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.1215274999995,None,None,[],,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
0,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,False,0,81,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.8979987505779974,0,valid_lose,386.51856099999986,36,,,,,385.00799370000004,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
1,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,False,1,82,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp4.png,exp3.png,1,3,reversed,incorrect,0.031087030151614292,1,invalid_win,390.4988344000003,37,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
2,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,False,2,83,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.7033461399841009,1,valid_win,394.33142080000016,38,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
3,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,False,3,84,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp4.png,exp3.png,0,4,reversed,correct,0.07888090981379703,0,invalid_lose,398.1792652000004,38,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
4,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,False,4,85,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.5817218644639005,1,valid_win,402.1441478000006,39,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
5,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,False,5,86,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp4.png,exp3.png,0,4,reversed,correct,0.4123340005485435,1,valid_win,406.0275599000006,40,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
6,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,False,6,87,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.3553640806040843,1,valid_win,409.95904659999997,41,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
7,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,False,7,88,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp4.png,exp3.png,1,3,reversed,incorrect,0.4327662149360282,0,valid_lose,413.8421537000004,41,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
8,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,False,8,89,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.044628878166315,0,invalid_lose,417.73943360000067,41,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
9,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,False,9,90,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp4.png,exp3.png,0,4,reversed,correct,0.4434619254029155,1,valid_win,421.75659390000055,42,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
10,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,False,10,91,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.3827876479250144,1,valid_win,425.7369253000006,43,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
11,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,False,11,92,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp4.png,exp3.png,0,4,reversed,correct,0.5234023525401065,1,valid_win,429.80299210000067,44,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
12,exp1.png,exp2.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,False,12,93,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.7692174761466649,1,valid_win,433.8841486000001,45,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
13,exp3.png,exp4.png,,,,,,,,,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,False,13,94,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp4.png,exp3.png,0,4,reversed,correct,0.17725225936093536,0,invalid_lose,437.83416060000036,45,,,,,,,,,,,sub_622,2024-09-16_11h04.14.012,Reversal,2023.1.3,59.92085653279865,2,
