trial_index,trial_image1_file,trial_image2_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_exp1.png,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,end_experiment.keys,end_experiment.rt,participant,ver,date,expName,psychopyVersion,frameRate,
3,exp3.png,exp4.png,,,,,,,,,,,,,,,,,1,0,1,0,0,3,3,3,,,,,,,,,False,22,103,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.7436744086389815,1,valid_win,625.451006100513,59,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
4,exp1.png,exp2.png,,,,,,,,,,,,,,,,,1,0,1,0,0,4,4,4,,,,,,,,,False,23,104,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.0024233201337149346,1,invalid_win,630.1493755001575,60,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
5,exp3.png,exp4.png,,,,,,,,,,,,,,,,,1,0,1,0,0,5,5,5,,,,,,,,,False,24,105,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.3070814526079233,1,valid_win,634.380719400011,61,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
6,exp1.png,exp2.png,,,,,,,,,,,,,,,,,1,0,1,0,0,6,6,6,,,,,,,,,False,25,106,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.3303212640898665,0,valid_lose,638.9465819001198,61,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
7,exp3.png,exp4.png,,,,,,,,,,,,,,,,,1,0,1,0,0,7,7,7,,,,,,,,,False,26,107,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.6982748432441102,0,valid_lose,643.4118714006618,61,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
8,exp1.png,exp2.png,,,,,,,,,,,,,,,,,1,0,1,0,0,8,8,8,,,,,,,,,False,27,108,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.9665613206712705,0,valid_lose,647.6597138000652,61,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
9,exp3.png,exp4.png,,,,,,,,,,,,,,,,,1,0,1,0,0,9,9,9,,,,,,,,,False,28,109,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.6314823549546739,1,valid_win,651.8251761998981,62,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
10,exp1.png,exp2.png,,,,,,,,,,,,,,,,,1,0,1,0,0,10,10,10,,,,,,,,,False,29,110,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.9563410329143897,0,valid_lose,656.0240083001554,62,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
11,exp3.png,exp4.png,,,,,,,,,,,,,,,,,1,0,1,0,0,11,11,11,,,,,,,,,False,30,111,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.9933040213810069,1,valid_win,660.6217763004825,63,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
12,exp1.png,exp2.png,,,,,,,,,,,,,,,,,1,0,1,0,0,12,12,12,,,,,,,,,False,31,112,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.40542407172537154,0,valid_lose,664.95447350014,63,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
13,exp3.png,exp4.png,,,,,,,,,,,,,,,,,1,0,1,0,0,13,13,13,,,,,,,,,False,32,113,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.3997385768729703,1,valid_win,669.2357029998675,64,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
14,exp1.png,exp2.png,,,,,,,,,,,,,,,,,1,0,1,0,0,14,14,14,,,,,,,,,False,33,114,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.48368032355513335,0,valid_lose,673.5342353004962,64,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
15,exp3.png,exp4.png,,,,,,,,,,,,,,,,,1,0,1,0,0,15,15,15,,,,,,,,,False,34,115,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.8735539561797455,1,valid_win,678.949352200143,65,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
16,exp1.png,exp2.png,,,,,,,,,,,,,,,,,1,0,1,0,0,16,16,16,,,,,,,,,False,35,116,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.6275583448975064,1,valid_win,683.5146684003994,66,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
17,exp3.png,exp4.png,,,,,,,,,,,,,,,,,1,0,1,0,0,17,17,17,,,,,,,,,False,36,117,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.7015284511510094,1,valid_win,688.6125835003331,67,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
18,exp1.png,exp2.png,,,,,,,,,,,,,,,,,1,0,1,0,0,18,18,18,,,,,,,,,False,37,118,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp2.png,exp1.png,0,4,reversed,correct,0.7203523297855934,1,valid_win,693.6122770002112,68,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
19,exp3.png,exp4.png,,,,,,,,,,,,,,,,,1,0,1,0,0,19,19,19,,,,,,,,,False,38,119,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.047606438897341175,0,invalid_lose,698.5426857005805,68,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
20,exp1.png,exp2.png,,,,,,,,,,,,,,,,,1,0,1,0,0,20,20,20,,,,,,,,,False,39,120,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp2.png,exp1.png,1,3,reversed,incorrect,0.8017843111198635,0,valid_lose,704.2078891005367,68,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,27,85,81,79,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
0,exp1.png,exp2.png,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
1,exp3.png,exp4.png,,,,,,,,,,,,,,,,,2,0,2,0,0,1,1,1,,,,,,,,,False,40,121,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.8167188305900636,0,valid_lose,729.016062900424,68,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
