trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
3,exp3.png,exp4.png,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,22,23,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.05062033544268363,0,invalid_lose,174.23931869999979,17,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
4,exp1.png,exp2.png,,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,23,24,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.30664678310969706,1,valid_win,179.93781919999992,18,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
5,exp3.png,exp4.png,,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,24,25,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.0883057110359673,0,invalid_lose,185.31876899999997,18,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
6,exp1.png,exp2.png,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,25,26,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.08559693494440757,0,invalid_lose,190.4004061999999,18,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
7,exp3.png,exp4.png,,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,26,27,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.5055042578487172,1,valid_win,199.7308094,19,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
8,exp1.png,exp2.png,,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,27,28,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.7245571508581138,0,valid_lose,205.7952937,19,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
9,exp3.png,exp4.png,,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,28,29,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.8264139182475722,1,valid_win,210.6446409,20,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
10,exp1.png,exp2.png,,1,0,1,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,29,30,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.0324273489874457,0,invalid_lose,215.07538750000003,20,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
11,exp3.png,exp4.png,,1,0,1,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,30,31,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.7118330212003768,0,valid_lose,219.82359129999986,20,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
12,exp1.png,exp2.png,,1,0,1,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,31,32,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.013544647993811165,0,invalid_lose,224.28954900000008,20,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
13,exp3.png,exp4.png,,1,0,1,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,32,33,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.3086888299962651,1,valid_win,230.0368957999999,21,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
14,exp1.png,exp2.png,,1,0,1,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,33,34,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.0693356359703089,0,invalid_lose,234.2576454,21,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
15,exp3.png,exp4.png,,1,0,1,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,34,35,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.1468961898104707,0,invalid_lose,239.78410609999992,21,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
16,exp1.png,exp2.png,,1,0,1,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,35,36,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.8452999600014898,1,valid_win,244.3654047,22,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
17,exp3.png,exp4.png,,1,0,1,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,36,37,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.4400881616262795,0,valid_lose,248.86408870000014,22,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
18,exp1.png,exp2.png,,1,0,1,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,37,38,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.8020750770722715,0,valid_lose,255.07938409999997,22,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
19,exp3.png,exp4.png,,1,0,1,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,38,39,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.8000362938243645,1,valid_win,259.8267443,23,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
20,exp1.png,exp2.png,,1,0,1,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,False,39,40,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,2,exp1.png,exp2.png,0,2,non-reversed,incorrect,0.06521576532801798,1,invalid_win,263.9596117000001,24,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
,,,exp1.png,1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.80071610000005,,None,None,[],,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
,,,exp2.png,1,0,1,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.86577940000006,,None,None,[],,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
,,,exp3.png,1,0,1,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.7717637999999,,None,None,[],,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
,,,exp4.png,1,0,1,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.6435303000003,,None,None,[],,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
0,exp1.png,exp2.png,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
1,exp3.png,exp4.png,,2,0,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,40,41,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.812382195794158,1,valid_win,275.8550245000001,25,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
2,exp1.png,exp2.png,,2,0,2,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,41,42,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.9165774224693732,1,valid_win,280.5369621,26,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
3,exp3.png,exp4.png,,2,0,2,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,42,43,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.019751707368119265,0,invalid_lose,284.8684438,26,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
4,exp1.png,exp2.png,,2,0,2,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,43,44,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.5805116961121716,1,valid_win,289.4007624999999,27,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
5,exp3.png,exp4.png,,2,0,2,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,44,45,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,2,exp3.png,exp4.png,0,4,reversed,incorrect,0.46721807397990534,0,valid_lose,294.0824625999999,27,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
6,exp1.png,exp2.png,,2,0,2,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,45,46,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.2814906784042843,1,valid_win,299.1637077999999,28,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
7,exp3.png,exp4.png,,2,0,2,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,46,47,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.6629564278560096,1,valid_win,303.9452603,29,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
8,exp1.png,exp2.png,,2,0,2,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,47,48,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.18439002336665422,0,invalid_lose,308.3463590000001,29,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
9,exp3.png,exp4.png,,2,0,2,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,48,49,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,2,exp3.png,exp4.png,1,3,reversed,correct,0.6965530281740211,1,valid_win,313.60889169999973,30,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
10,exp1.png,exp2.png,,2,0,2,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,49,50,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,2,exp1.png,exp2.png,1,1,non-reversed,correct,0.8668959819426098,1,valid_win,318.6405086,31,,,,,,,,,,,,sub_922,2024-03-18_10h49.46.105,Reversal,2023.1.3,60.0208032103825,2,
