trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_rating.started,estimation_rating.stopped,estimation_exp2.png,total_learning_time,estimation_exp3.png,estimation_exp4.png,estimation_exp1.png,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
4,exp1.png,exp2.png,,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,24,25,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.8319745479253687,1,valid_win,208.3962799999863,12,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
5,exp3.png,exp4.png,,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,25,26,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.9632877760117268,1,valid_win,212.4970918999752,13,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
6,exp1.png,exp2.png,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,26,27,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.4351184833093166,0,valid_lose,216.88000360003207,13,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
7,exp3.png,exp4.png,,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,27,28,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.39963192388972013,1,valid_win,221.11276729998644,14,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
8,exp1.png,exp2.png,,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,28,29,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.4139725281403255,1,valid_win,225.31311600003392,15,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
9,exp3.png,exp4.png,,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,29,30,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.08130527868604598,1,invalid_win,229.52983600005973,16,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
10,exp1.png,exp2.png,,1,0,1,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,30,31,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.973439377046501,0,valid_lose,233.67950480000582,16,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
11,exp3.png,exp4.png,,1,0,1,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,31,32,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.930487177099097,1,valid_win,237.72926900000311,17,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
12,exp1.png,exp2.png,,1,0,1,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,32,33,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.7970299778694244,1,valid_win,241.8295150999911,18,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
13,exp3.png,exp4.png,,1,0,1,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,33,34,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.07694877855899962,0,invalid_lose,245.81296999996994,18,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
14,exp1.png,exp2.png,,1,0,1,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,34,35,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.9227116032157306,1,valid_win,249.91260979999788,19,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
15,exp3.png,exp4.png,,1,0,1,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,35,36,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.7318324157676489,1,valid_win,254.1127813999774,20,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
16,exp1.png,exp2.png,,1,0,1,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,36,37,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.3523633352625003,1,valid_win,258.2625738000497,21,,,,,,,,,,,,,,,,sub_529,2024-09-16_11h35.56.405,Reversal,2022.1.2,60.0194703246862,1,
