trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_rating.started,estimation_rating.stopped,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
0,exp1.png,exp2.png,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,20,21,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.6905582145988958,0,valid_lose,218.86982969997916,10,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
1,exp3.png,exp4.png,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,21,22,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.3734343503366828,0,valid_lose,224.7195261999732,10,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
2,exp1.png,exp2.png,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,22,23,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.9385657635521915,0,valid_lose,230.48475679999683,10,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
3,exp3.png,exp4.png,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,23,24,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.7016735270265224,0,valid_lose,234.51788310002303,10,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
4,exp1.png,exp2.png,,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,24,25,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.26331860278126984,0,valid_lose,238.66797760000918,10,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
5,exp3.png,exp4.png,,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,25,26,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.259953218553553,0,valid_lose,242.73462970001856,10,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
6,exp1.png,exp2.png,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,26,27,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.9656021231860967,1,valid_win,246.78272870002547,11,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
7,exp3.png,exp4.png,,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,27,28,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.28505009403942994,0,valid_lose,252.23206279997248,11,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
8,exp1.png,exp2.png,,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,28,29,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.3829068741310855,1,valid_win,257.56713600002695,12,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
9,exp3.png,exp4.png,,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,29,30,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.7638730533646894,0,valid_lose,263.565592799976,12,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
10,exp1.png,exp2.png,,1,0,1,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,30,31,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.27904482711480094,1,valid_win,267.5645607999759,13,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
11,exp3.png,exp4.png,,1,0,1,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,31,32,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.9506554167882012,0,valid_lose,271.863848900015,13,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
12,exp1.png,exp2.png,,1,0,1,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,32,33,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.3156435790496819,1,valid_win,275.9137832999695,14,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
13,exp3.png,exp4.png,,1,0,1,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,33,34,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.2591424442260234,0,valid_lose,280.06294460000936,14,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
14,exp1.png,exp2.png,,1,0,1,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,34,35,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.9926407939666115,1,valid_win,284.19518739997875,15,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
15,exp3.png,exp4.png,,1,0,1,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,35,36,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.6592937158304499,0,valid_lose,289.0779204000137,15,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
16,exp1.png,exp2.png,,1,0,1,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,36,37,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.5954408144782071,0,valid_lose,293.1769372000126,15,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
17,exp3.png,exp4.png,,1,0,1,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,37,38,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.5274194802471708,0,valid_lose,297.2435979999718,15,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
18,exp1.png,exp2.png,,1,0,1,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,38,39,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.6434128977104874,0,valid_lose,302.4251862000092,15,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
19,exp3.png,exp4.png,,1,0,1,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,39,40,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.663744095914643,0,valid_lose,306.7576254999731,15,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
20,exp1.png,exp2.png,,1,0,1,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
,,,exp1.png,1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,4.117874599993229,"[(32.0, 4.117874599993229)]",452.33178689994384,None,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
,,,exp2.png,1,0,1,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,4.715598899987526,"[(21.0, 4.715598899987526)]",457.6576861999929,None,21.0,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
,,,exp3.png,1,0,1,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,4.992310300003737,"[(35.0, 4.992310300003737)]",463.74584939994384,None,,35.0,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
,,,exp4.png,1,0,1,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,4.399871000030544,"[(59.0, 4.399871000030544)]",469.85883149999427,None,,,59.0,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
0,exp1.png,exp2.png,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,40,41,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.01228394910855235,0,invalid_lose,336.4211932999897,15,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
1,exp3.png,exp4.png,,2,0,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,41,42,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.21948145877078584,0,invalid_lose,341.20384620002005,15,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
2,exp1.png,exp2.png,,2,0,2,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,42,43,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.33519173306563166,0,valid_lose,345.3044626999763,15,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
3,exp3.png,exp4.png,,2,0,2,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,43,44,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.1824027768872053,0,invalid_lose,349.35331809998024,15,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
4,exp1.png,exp2.png,,2,0,2,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,44,45,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.6320589889797659,1,valid_win,353.4190697000013,16,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
5,exp3.png,exp4.png,,2,0,2,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,45,46,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.7338056573893049,0,valid_lose,357.50383499998134,16,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
6,exp1.png,exp2.png,,2,0,2,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,46,47,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.384023851772457,1,valid_win,361.6689386999933,17,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
7,exp3.png,exp4.png,,2,0,2,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,47,48,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.31558261540590926,0,valid_lose,365.8021721999976,17,,,,,,,,,,,,,,,,sub_213,2022-11-09_10h37.10.160,Reversal,2022.1.1,59.922436400666065,1,
