trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp3.png,estimation_exp4.png,total_learning_time,estimation_exp2.png,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,participant,date,expName,psychopyVersion,frameRate,ver,
20,exp1.png,exp2.png,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,False,19,20,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.6523526682379238,0,valid_lose,100.68074789999991,8,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
,,,exp1.png,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.56685039999957,97.0,97.0,19.286617599999772,"[(72.0, 15.756756299999324), (93.0, 18.553499899999224), (97.0, 19.286617599999772)]",,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
,,,exp2.png,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.65483009999934,,None,None,[],,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
,,,exp3.png,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.56474629999957,,100.0,8.992691000000377,"[(100.0, 8.992691000000377)]",100.0,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
,,,exp4.png,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.3125614999999,,100.0,31.666165499999806,"[(49.0, 23.203968099999656), (100.0, 31.666165499999806)]",,100.0,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
0,exp1.png,exp2.png,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
1,exp3.png,exp4.png,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,20,21,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,4,exp4.png,exp3.png,1,3,reversed,correct,0.11252468173061336,0,invalid_lose,183.95200339999974,8,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
2,exp1.png,exp2.png,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,21,22,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.24772083637199782,0,invalid_lose,188.03401469999972,8,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
3,exp3.png,exp4.png,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,22,23,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.7958039491372846,0,valid_lose,192.18245129999923,8,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
4,exp1.png,exp2.png,,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,23,24,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.5207189617764106,0,valid_lose,196.2145462999997,8,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
5,exp3.png,exp4.png,,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,24,25,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.3840201335328517,0,valid_lose,200.39638039999954,8,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
6,exp1.png,exp2.png,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,25,26,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,4,exp2.png,exp1.png,1,1,non-reversed,correct,0.25937271874547374,1,valid_win,204.72815209999953,9,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
7,exp3.png,exp4.png,,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,26,27,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.39751280908436626,0,valid_lose,209.26014979999945,9,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
8,exp1.png,exp2.png,,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,27,28,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.03655936872419563,1,invalid_win,214.17510319999928,10,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
9,exp3.png,exp4.png,,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,28,29,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.4685360334295826,0,valid_lose,219.6565688999999,10,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
10,exp1.png,exp2.png,,1,0,1,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,29,30,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,4,exp2.png,exp1.png,0,2,non-reversed,incorrect,0.03258686946127176,1,invalid_win,224.43840509999973,11,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
11,exp3.png,exp4.png,,1,0,1,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,30,31,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,4,exp4.png,exp3.png,0,4,reversed,incorrect,0.047467646583660206,1,invalid_win,229.32012200000008,12,,,,,,,,,,,,,,,sub_672,2024-04-02_11h23.38.800,Reversal,2023.1.3,60.01017772613849,4,
