participant,sd_estimation
sub_706,35.02297382650671
sub_711,23.103173239981857
sub_714,13.959504060789138
sub_716,34.54825625964371
sub_725,49.395402590741675
sub_732,26.167797446258362
sub_736,49.079090688980195
sub_765,46.06684106983944
sub_777,23.809761903571438
sub_778,29.48698379690156
sub_788,38.29875280479981
sub_791,24.41348360677316
sub_792,37.956533201787714
sub_794,33.561500839866184
sub_795,43.42426357080413
sub_798,41.63184051813631
sub_799,25.64299915760833
sub_803,19.464775117008962
sub_807,40.75218694427012
sub_809,31.013786907679922
sub_810,3.214550253664317
sub_813,44.274145954495836
sub_816,22.52473387997373
sub_818,28.406710060663276
sub_822,29.146146151727084
sub_828,35.48828649372733
sub_834,43.021086141726514
sub_840,40.32382808106283
sub_841,49.06226472662896
sub_845,19.815918725121854
sub_853,48.293566015759474
sub_871,32.20425881330427
sub_872,14.116492564332
sub_880,20.928449536456355
sub_882,28.840993569100736
sub_899,28.274534043239665
sub_908,45.256384642138535
sub_914,35.56884672213673
sub_916,21.905098341101628
sub_919,27.752477366894656
sub_920,40.07364761537912
sub_921,36.26057317068591
sub_922,
sub_925,19.496752976415756
sub_926,42.33273681278599
sub_931,31.620668346299492
sub_936,32.30421799084448
sub_938,35.697805721547276
sub_946,47.78372517431423
sub_953,49.35199132374546
sub_954,31.702349456135913
sub_961,9.496963077337286
sub_969,30.63878741265142
sub_981,30.487345913830627
sub_985,
sub_986,40.30683596663258
sub_987,49.57475006649901
sub_990,28.74131447750323
sub_996,35.52403003540997
sub_998,32.20820425066619
